archetype,hazard_level,Mbar,Dbar,Ebar
brbf_3_ii,hz_13,7.065764,7.022618,1.4722768
brbf_3_ii,hz_14,7.073994,6.6842766,1.5490673
brbf_3_ii,hz_15,7.081185,6.3874383,1.6232651
brbf_3_ii,hz_16,7.089806,6.029695,1.7227705
brbf_3_ii,hz_17,7.095807,5.779001,1.800269
brbf_3_ii,hz_18,7.100209,5.5938916,1.862292
brbf_3_ii,hz_19,7.1052413,5.380559,1.9395643
brbf_3_ii,hz_20,7.1105337,5.1534333,2.0296707
brbf_3_ii,hz_21,7.114306,4.9891505,2.1006553
brbf_3_ii,hz_22,7.1170864,4.8663077,2.1573567
brbf_3_ii,hz_23,7.119192,4.7720737,2.2031765
brbf_3_ii,hz_24,7.1229305,4.6014447,2.2918704
brbf_3_ii,hz_25,7.1257725,4.4680157,2.3670235
brbf_3_ii,hz_26,7.1348715,4.001798,2.6819658
brbf_3_ii,hz_27,7.1423316,3.4697917,3.2117364
brbf_3_ii,hz_28,7.1435266,3.2123134,3.6166012
brbf_3_ii,hz_29,7.143305,3.1468186,3.7533872
brbf_3_iv,hz_1,6.1537642,38.9429,-0.39125896
brbf_3_iv,hz_2,6.459592,24.634253,0.09005998
brbf_3_iv,hz_3,6.61766,19.659811,0.3724898
brbf_3_iv,hz_4,6.714747,16.70356,0.5622113
brbf_3_iv,hz_5,6.7852592,14.492348,0.7200229
brbf_3_iv,hz_6,6.838482,12.765468,0.8617177
brbf_3_iv,hz_7,6.876054,11.51359,0.9813888
brbf_3_iv,hz_8,6.9068375,10.468329,1.0975869
brbf_3_iv,hz_9,6.931481,9.619857,1.2069339
brbf_3_iv,hz_10,6.9522624,8.89708,1.3141224
brbf_3_iv,hz_11,6.965664,8.427728,1.3924155
brbf_3_iv,hz_12,6.983385,7.803442,1.5096961
brbf_3_iv,hz_13,6.9949555,7.3935895,1.596528
brbf_3_iv,hz_14,7.0029655,7.108787,1.6623057
brbf_3_iv,hz_15,7.0151424,6.6739936,1.7727573
brbf_3_iv,hz_16,7.0235767,6.3713775,1.8579066
brbf_3_iv,hz_17,7.0296736,6.1517916,1.9245902
brbf_3_iv,hz_18,7.035925,5.925809,1.9980485
brbf_3_iv,hz_19,7.043641,5.6456137,2.096808
brbf_3_iv,hz_20,7.0491724,5.4438195,2.1739001
brbf_3_iv,hz_21,7.0532794,5.293447,2.2350082
brbf_3_iv,hz_22,7.0564113,5.1784453,2.284063
brbf_3_iv,hz_23,7.062228,4.9641333,2.381453
brbf_3_iv,hz_24,7.066577,4.803275,2.460309
brbf_3_iv,hz_25,7.0698676,4.681227,2.5238976
brbf_3_iv,hz_26,7.0846214,4.130825,2.863953
brbf_3_iv,hz_27,7.1012845,3.4952786,3.4619033
brbf_3_iv,hz_28,7.106421,3.2744997,3.7970083
brbf_3_iv,hz_29,7.1074824,3.2200792,3.9018097
brbf_6_ii,hz_1,6.247858,45.136467,-0.3565718
brbf_6_ii,hz_2,6.601211,28.22232,0.0051185405
brbf_6_ii,hz_3,6.782385,21.991953,0.22856997
brbf_6_ii,hz_4,6.890027,18.211988,0.38277256
brbf_6_ii,hz_5,6.9627876,15.372036,0.5128593
brbf_6_ii,hz_6,7.009892,13.321918,0.62350655
brbf_6_ii,hz_7,7.0471525,11.54277,0.740758
brbf_6_ii,hz_8,7.0727534,10.22772,0.8480374
