,Tcond,M_bar,Rjb,eps_bar,Vs30,outputDir,outputFile,code,hazard_level
157,1.0,7.172695,6.3557615,1.2389464,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_13.txt,smrf_9_iv,13
158,1.0,7.1770773,6.0401835,1.3083658,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_14.txt,smrf_9_iv,14
159,1.0,7.182929,5.633722,1.4105881,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_15.txt,smrf_9_iv,15
160,1.0,7.187009,5.363282,1.488617,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_16.txt,smrf_9_iv,16
161,1.0,7.190013,5.172165,1.5497454,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_17.txt,smrf_9_iv,17
162,1.0,7.1939945,4.930449,1.6356902,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_18.txt,smrf_9_iv,18
163,1.0,7.1975493,4.7266755,1.7172453,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_19.txt,smrf_9_iv,19
164,1.0,7.2002034,4.5822806,1.7811631,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_20.txt,smrf_9_iv,20
165,1.0,7.202239,4.4761157,1.8319768,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_21.txt,smrf_9_iv,21
166,1.0,7.204977,4.33965,1.902826,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_22.txt,smrf_9_iv,22
167,1.0,7.2077923,4.206916,1.9787425,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_23.txt,smrf_9_iv,23
168,1.0,7.209964,4.109711,2.039513,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_24.txt,smrf_9_iv,24
169,1.0,7.211673,4.036319,2.088758,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_25.txt,smrf_9_iv,25
170,1.0,7.220758,3.6894186,2.3743517,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_26.txt,smrf_9_iv,26
171,1.0,7.2319427,3.3457901,2.8071866,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_27.txt,smrf_9_iv,27
172,1.0,7.238514,3.1671498,3.1604166,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_28.txt,smrf_9_iv,28
173,1.0,7.242547,3.0293334,3.5709658,260.0,extra/structural_analysis/results/site_hazard/smrf_9_iv/,required_records_hz_29.txt,smrf_9_iv,29
174,0.3,6.1113763,36.553944,-0.40344644,260.0,extra/structural_analysis/results/site_hazard/scbf_3_ii/,required_records_hz_1.txt,scbf_3_ii,1
175,0.3,6.3887677,23.35383,0.14600389,260.0,extra/structural_analysis/results/site_hazard/scbf_3_ii/,required_records_hz_2.txt,scbf_3_ii,2
176,0.3,6.525673,18.984886,0.45806092,260.0,extra/structural_analysis/results/site_hazard/scbf_3_ii/,required_records_hz_3.txt,scbf_3_ii,3
